Eigvals	3
42.58696151577423	26.800892033200547	9.570440247456649

Proportion explained	3
0.6913010306278966	0.27378672843443475	0.03491224093766842

Species	82	3
otu_39	0.06319586575276617	-0.029999892306005235	-0.00286702615298531
otu_41	-0.054747518876657825	-0.0061487454966980175	0.002938765458023949
otu_42	-0.07492114702238539	0.002743357530818542	0.11229526061826331
otu_45	-0.06727263359148827	-0.010585006366523729	0.0032164241515629187
otu_46	-0.022741735754311182	0.15143905605954222	0.031151353113956184
otu_47	-0.16127558182558074	0.1302332924612641	0.12350767455966029
otu_48	-0.041394075509665326	-0.0029882467392966304	-0.005423106798421866
otu_49	0.036244404707259315	0.04940785506822861	0.0951177405804251
otu_50	0.07395100466606729	-0.020304342277133368	0.08220362480802686
otu_52	-0.052473379426393414	-0.003878792321777922	0.0005846474714096065
otu_53	-0.017973663703593105	0.07075334548086219	0.07717507150094054
otu_54	0.039995587330232125	-0.04763236867808753	0.06940522577253813
otu_55	-0.06682331006726953	-0.011726949967848475	0.007315585414626608
otu_56	-0.039845921281901474	0.0037995701373046823	0.005860521998572653
otu_57	-0.09311220654945178	0.08933379323170704	0.06838011586047978
otu_58	0.021411432141516116	-0.03409536415982874	0.14044644746137971
otu_59	-0.055727823651758705	-0.011040972348766363	-0.0023725634171370222
otu_61	-0.01891045512677353	0.08003203426251	0.06509551870366179
otu_62	-0.03048202936742273	-0.22011757759420789	0.129412059529812
otu_65	-0.04902079741434606	0.04947733605585596	0.022141415456755586
otu_66	0.0974196687068801	-0.1212148790562424	0.1639705893150734
otu_69	-0.14515235021056577	0.06420441620212089	0.09765369036938305
otu_70	0.0021995297299513923	-0.15870012156459676	0.021524113115269895
otu_73	-0.07810321686643536	-0.010104656797464664	0.014897439603952508
otu_76	-0.06110312351766649	-0.0024376311382697077	0.009454988941002678
otu_77	-0.13068333413084093	-0.016359855930362776	0.0469552257116635
otu_78	0.009953547050542176	0.03242508465735437	0.17477336365778778
otu_80	-0.03672055056962329	-0.059501589620518616	0.03977795436793388
otu_84	-0.06582465452385879	-0.05362537390697826	0.03446935366510271
otu_86	0.01273347574443982	-0.10556601643220145	0.11630445588072923
otu_100	0.009066123199261611	-0.1124237589504444	0.052863158951486564
otu_101	-0.14732758982220537	0.11808066536802228	0.09445534318296162
otu_103	0.10824037886527989	0.03955272687936049	0.032019900536458513
otu_104	-0.051375135815271186	0.06227246010667595	0.15806049686036971
otu_122	0.13298252285181295	-0.15166299076938106	0.07046586256657009
otu_133	0.09423137353784118	0.043306767940862384	0.038541018989185334
otu_138	-0.13740264135969268	-0.03338747299057873	0.04869494373994611
otu_142	0.09238623799815437	0.08511671048602644	0.07423921107760051
otu_150	-0.06896819446112087	-0.0010037637869998283	-0.00402388012578998
otu_155	-0.09676963342804991	-0.021885247887203904	0.025154979518624554
otu_166	-0.10090426946070333	-0.023055663684333923	0.027550302661833417
otu_171	-0.0030858338995999536	-0.025973335660551412	0.0025413181717547167
otu_193	0.04432273231746117	-0.10298464839489618	0.005609887883248445
otu_396	0.04106029411038897	0.07160970986817163	0.041912284722495474
otu_502	0.08075733161255227	0.0755475461910513	0.06234408270384138
otu_542	-0.13740264135969268	-0.03338747299057873	0.04869494373994611
otu_544	0.012294246462050216	-0.1473879991134842	0.06674170915474809
otu_559	-0.11351348880760585	-0.035250357754001406	0.03936988361989091
otu_561	0.11044201707996314	0.04968327765270759	0.0490827646351463

Site	14	3
MFMT_01_FMTABX_21_D24_Cage1	-0.24827019240443282	-0.2634837620574006	-0.18614118633965765
MFMT_01_FMTABX_22_D24_Cage1	-0.22885293841096482	-0.3202451859835633	-0.32790696321905194
MFMT_01_FMTABX_23_D24_Cage2	0.219825918078921	-0.25039882730003976	-0.09870726776423208
MFMT_01_FMTABX_24_D24_Cage2	0.13353314100908914	-0.45397448659660206	-0.20151216969749272
MFMT_01_FMTABX_26_D24_Cage3	0.2123049330844702	-0.01144932998702436	0.02399917232496469
MFMT_01_FMTCTRL_11_D24_Cage1	-0.1377964187236203	0.45272016263717213	0.09432233916537788
MFMT_01_FMTCTRL_12_D24_Cage1	-0.29627423712207057	0.3643475704564217	-0.12695798043122763
MFMT_01_FMTCTRL_13_D24_Cage2	0.35497912987431757	0.10341909853706337	0.21073533559859897
MFMT_01_FMTCTRL_14_D24_Cage2	0.4023022045908313	0.0747697831439521	0.24674345265833464
MFMT_01_FMTCTRL_15_D24_Cage3	0.3230105029779394	-0.02622986079485018	0.15038230737357344
MFMT_01_FMTPBS_31_D24_Cage1	-0.4074796410338666	-0.10625924037519589	0.5533854376142218
MFMT_01_FMTPBS_32_D24_Cage1	-0.3312094034563249	-0.1399292819548857	0.2910750335161869
MFMT_01_FMTPBS_33_D24_Cage2	0.00715868917980296	0.34855103118225966	-0.49489940390942827
MFMT_01_FMTPBS_34_D24_Cage2	-0.003231687644091416	0.22816232909269293	-0.1345181068901687

Biplot	0	0

Site constraints	0	0
